clf,dataset_name,dataset_type,auc
RISF,cmc-nominal,nominal,0.5766
RISF,cmc-nominal,nominal,0.482
RISF,cmc-nominal,nominal,0.4733
RISF,cmc-nominal,nominal,0.647
RISF,cmc-nominal,nominal,0.5115
RISF,cmc-nominal,nominal,0.6469
RISF,cmc-nominal,nominal,0.5526
RISF,cmc-nominal,nominal,0.6171
RISF,cmc-nominal,nominal,0.5436
RISF,cmc-nominal,nominal,0.5104
RISF,solar-flare_FvsAll-cleaned,nominal,0.843
RISF,solar-flare_FvsAll-cleaned,nominal,0.8354
RISF,solar-flare_FvsAll-cleaned,nominal,0.8717
RISF,solar-flare_FvsAll-cleaned,nominal,0.8224
RISF,solar-flare_FvsAll-cleaned,nominal,0.7744
RISF,solar-flare_FvsAll-cleaned,nominal,0.8893
RISF,solar-flare_FvsAll-cleaned,nominal,0.8504
RISF,solar-flare_FvsAll-cleaned,nominal,0.84
RISF,solar-flare_FvsAll-cleaned,nominal,0.7898
RISF,solar-flare_FvsAll-cleaned,nominal,0.8135
ISF,cmc-nominal,nominal,0.6035
ISF,cmc-nominal,nominal,0.5226
ISF,cmc-nominal,nominal,0.4618
ISF,cmc-nominal,nominal,0.6714
ISF,cmc-nominal,nominal,0.5577
ISF,cmc-nominal,nominal,0.5979
ISF,cmc-nominal,nominal,0.6237
ISF,cmc-nominal,nominal,0.4629
ISF,cmc-nominal,nominal,0.4623
ISF,cmc-nominal,nominal,0.4986
ISF,solar-flare_FvsAll-cleaned,nominal,0.7597
ISF,solar-flare_FvsAll-cleaned,nominal,0.7171
ISF,solar-flare_FvsAll-cleaned,nominal,0.681
ISF,solar-flare_FvsAll-cleaned,nominal,0.6983
ISF,solar-flare_FvsAll-cleaned,nominal,0.725
ISF,solar-flare_FvsAll-cleaned,nominal,0.7033
ISF,solar-flare_FvsAll-cleaned,nominal,0.7439
ISF,solar-flare_FvsAll-cleaned,nominal,0.7568
ISF,solar-flare_FvsAll-cleaned,nominal,0.7529
ISF,solar-flare_FvsAll-cleaned,nominal,0.7944
LOF,cmc-nominal,nominal,0.4888
LOF,cmc-nominal,nominal,0.5917
LOF,cmc-nominal,nominal,0.5606
LOF,cmc-nominal,nominal,0.4566
LOF,cmc-nominal,nominal,0.6143
LOF,cmc-nominal,nominal,0.4157
LOF,cmc-nominal,nominal,0.5703
LOF,cmc-nominal,nominal,0.6543
LOF,cmc-nominal,nominal,0.3866
LOF,cmc-nominal,nominal,0.4043
LOF,solar-flare_FvsAll-cleaned,nominal,0.5534
LOF,solar-flare_FvsAll-cleaned,nominal,0.557
LOF,solar-flare_FvsAll-cleaned,nominal,0.5908
LOF,solar-flare_FvsAll-cleaned,nominal,0.5765
LOF,solar-flare_FvsAll-cleaned,nominal,0.5018
LOF,solar-flare_FvsAll-cleaned,nominal,0.5129
LOF,solar-flare_FvsAll-cleaned,nominal,0.553
LOF,solar-flare_FvsAll-cleaned,nominal,0.5772
LOF,solar-flare_FvsAll-cleaned,nominal,0.5415
LOF,solar-flare_FvsAll-cleaned,nominal,0.5804
IForest,cmc-nominal,nominal,0.5692
IForest,cmc-nominal,nominal,0.5837
IForest,cmc-nominal,nominal,0.5488
IForest,cmc-nominal,nominal,0.5793
IForest,cmc-nominal,nominal,0.5359
IForest,cmc-nominal,nominal,0.6395
IForest,cmc-nominal,nominal,0.6039
IForest,cmc-nominal,nominal,0.6944
IForest,cmc-nominal,nominal,0.4687
IForest,cmc-nominal,nominal,0.5104
IForest,solar-flare_FvsAll-cleaned,nominal,0.8257
IForest,solar-flare_FvsAll-cleaned,nominal,0.7993
IForest,solar-flare_FvsAll-cleaned,nominal,0.8341
IForest,solar-flare_FvsAll-cleaned,nominal,0.7805
IForest,solar-flare_FvsAll-cleaned,nominal,0.7801
IForest,solar-flare_FvsAll-cleaned,nominal,0.8038
IForest,solar-flare_FvsAll-cleaned,nominal,0.8226
IForest,solar-flare_FvsAll-cleaned,nominal,0.8052
IForest,solar-flare_FvsAll-cleaned,nominal,0.7612
IForest,solar-flare_FvsAll-cleaned,nominal,0.8185
ECOD,cmc-nominal,nominal,0.6007
ECOD,cmc-nominal,nominal,0.5613
ECOD,cmc-nominal,nominal,0.5282
ECOD,cmc-nominal,nominal,0.6514
ECOD,cmc-nominal,nominal,0.5657
ECOD,cmc-nominal,nominal,0.6749
ECOD,cmc-nominal,nominal,0.6247
ECOD,cmc-nominal,nominal,0.6751
ECOD,cmc-nominal,nominal,0.5123
ECOD,cmc-nominal,nominal,0.5176
ECOD,solar-flare_FvsAll-cleaned,nominal,0.8485
ECOD,solar-flare_FvsAll-cleaned,nominal,0.8484
ECOD,solar-flare_FvsAll-cleaned,nominal,0.8845
ECOD,solar-flare_FvsAll-cleaned,nominal,0.8076
ECOD,solar-flare_FvsAll-cleaned,nominal,0.8084
ECOD,solar-flare_FvsAll-cleaned,nominal,0.8537
ECOD,solar-flare_FvsAll-cleaned,nominal,0.8534
ECOD,solar-flare_FvsAll-cleaned,nominal,0.8445
ECOD,solar-flare_FvsAll-cleaned,nominal,0.7737
ECOD,solar-flare_FvsAll-cleaned,nominal,0.8696
HBOS,cmc-nominal,nominal,0.6015
HBOS,cmc-nominal,nominal,0.5536
HBOS,cmc-nominal,nominal,0.5377
HBOS,cmc-nominal,nominal,0.6565
HBOS,cmc-nominal,nominal,0.5647
HBOS,cmc-nominal,nominal,0.6767
HBOS,cmc-nominal,nominal,0.6304
HBOS,cmc-nominal,nominal,0.671
HBOS,cmc-nominal,nominal,0.5095
HBOS,cmc-nominal,nominal,0.5106
HBOS,solar-flare_FvsAll-cleaned,nominal,0.8483
HBOS,solar-flare_FvsAll-cleaned,nominal,0.8549
HBOS,solar-flare_FvsAll-cleaned,nominal,0.8815
HBOS,solar-flare_FvsAll-cleaned,nominal,0.8128
HBOS,solar-flare_FvsAll-cleaned,nominal,0.8175
HBOS,solar-flare_FvsAll-cleaned,nominal,0.8582
HBOS,solar-flare_FvsAll-cleaned,nominal,0.8559
HBOS,solar-flare_FvsAll-cleaned,nominal,0.8465
HBOS,solar-flare_FvsAll-cleaned,nominal,0.7745
HBOS,solar-flare_FvsAll-cleaned,nominal,0.8653
