clf,dataset_name,dataset_type,auc
RSIF,amazon,nlp,0.4893
RSIF,amazon,nlp,0.5158
RSIF,amazon,nlp,0.5227
RSIF,amazon,nlp,0.5009
RSIF,amazon,nlp,0.5096
RSIF,amazon,nlp,0.5109
RSIF,amazon,nlp,0.4828
RSIF,amazon,nlp,0.5335
RSIF,amazon,nlp,0.505
RSIF,amazon,nlp,0.4654
RSIF,imdb,nlp,0.4574
RSIF,imdb,nlp,0.483
RSIF,imdb,nlp,0.4877
RSIF,imdb,nlp,0.4657
RSIF,imdb,nlp,0.5185
RSIF,imdb,nlp,0.5464
RSIF,imdb,nlp,0.5475
RSIF,imdb,nlp,0.4971
RSIF,imdb,nlp,0.4883
RSIF,imdb,nlp,0.4614
RSIF,yelp,nlp,0.564
RSIF,yelp,nlp,0.5408
RSIF,yelp,nlp,0.5543
RSIF,yelp,nlp,0.5359
RSIF,yelp,nlp,0.5406
RSIF,yelp,nlp,0.5611
RSIF,yelp,nlp,0.5251
RSIF,yelp,nlp,0.5533
RSIF,yelp,nlp,0.5051
RSIF,yelp,nlp,0.5331
ISF,amazon,nlp,0.4906
ISF,amazon,nlp,0.4952
ISF,amazon,nlp,0.5001
ISF,amazon,nlp,0.4825
ISF,amazon,nlp,0.497
ISF,amazon,nlp,0.4861
ISF,amazon,nlp,0.4672
ISF,amazon,nlp,0.494
ISF,amazon,nlp,0.4946
ISF,amazon,nlp,0.5416
ISF,imdb,nlp,0.4785
ISF,imdb,nlp,0.5074
ISF,imdb,nlp,0.4473
ISF,imdb,nlp,0.4425
ISF,imdb,nlp,0.4985
ISF,imdb,nlp,0.5028
ISF,imdb,nlp,0.5121
ISF,imdb,nlp,0.4949
ISF,imdb,nlp,0.4731
ISF,imdb,nlp,0.4568
ISF,yelp,nlp,0.4931
ISF,yelp,nlp,0.4846
ISF,yelp,nlp,0.4719
ISF,yelp,nlp,0.5744
ISF,yelp,nlp,0.4925
ISF,yelp,nlp,0.5674
ISF,yelp,nlp,0.4207
ISF,yelp,nlp,0.5049
ISF,yelp,nlp,0.5013
ISF,yelp,nlp,0.5165
LOF,amazon,nlp,0.5493
LOF,amazon,nlp,0.5464
LOF,amazon,nlp,0.5328
LOF,amazon,nlp,0.5396
LOF,amazon,nlp,0.5409
LOF,amazon,nlp,0.5693
LOF,amazon,nlp,0.585
LOF,amazon,nlp,0.5554
LOF,amazon,nlp,0.565
LOF,amazon,nlp,0.5583
LOF,imdb,nlp,0.5062
LOF,imdb,nlp,0.5434
LOF,imdb,nlp,0.5312
LOF,imdb,nlp,0.4965
LOF,imdb,nlp,0.5351
LOF,imdb,nlp,0.5351
LOF,imdb,nlp,0.503
LOF,imdb,nlp,0.5308
LOF,imdb,nlp,0.5305
LOF,imdb,nlp,0.4831
LOF,yelp,nlp,0.6086
LOF,yelp,nlp,0.5532
LOF,yelp,nlp,0.5673
LOF,yelp,nlp,0.6013
LOF,yelp,nlp,0.5936
LOF,yelp,nlp,0.6153
LOF,yelp,nlp,0.6072
LOF,yelp,nlp,0.5638
LOF,yelp,nlp,0.5523
LOF,yelp,nlp,0.6117
IForest,amazon,nlp,0.5041
IForest,amazon,nlp,0.5212
IForest,amazon,nlp,0.5034
IForest,amazon,nlp,0.5129
IForest,amazon,nlp,0.5007
IForest,amazon,nlp,0.5214
IForest,amazon,nlp,0.5241
IForest,amazon,nlp,0.5326
IForest,amazon,nlp,0.5193
IForest,amazon,nlp,0.5274
IForest,imdb,nlp,0.5118
IForest,imdb,nlp,0.4729
IForest,imdb,nlp,0.4619
IForest,imdb,nlp,0.4285
IForest,imdb,nlp,0.4908
IForest,imdb,nlp,0.5016
IForest,imdb,nlp,0.4488
IForest,imdb,nlp,0.452
IForest,imdb,nlp,0.4949
IForest,imdb,nlp,0.437
IForest,yelp,nlp,0.5737
IForest,yelp,nlp,0.4993
IForest,yelp,nlp,0.5246
IForest,yelp,nlp,0.5658
IForest,yelp,nlp,0.5423
IForest,yelp,nlp,0.5674
IForest,yelp,nlp,0.5454
IForest,yelp,nlp,0.5238
IForest,yelp,nlp,0.5202
IForest,yelp,nlp,0.5539
ECOD,amazon,nlp,0.4944
ECOD,amazon,nlp,0.5241
ECOD,amazon,nlp,0.5079
ECOD,amazon,nlp,0.521
ECOD,amazon,nlp,0.5056
ECOD,amazon,nlp,0.52
ECOD,amazon,nlp,0.5322
ECOD,amazon,nlp,0.529
ECOD,amazon,nlp,0.5239
ECOD,amazon,nlp,0.5145
ECOD,imdb,nlp,0.4802
ECOD,imdb,nlp,0.4841
ECOD,imdb,nlp,0.4663
ECOD,imdb,nlp,0.4432
ECOD,imdb,nlp,0.4944
ECOD,imdb,nlp,0.4852
ECOD,imdb,nlp,0.4637
ECOD,imdb,nlp,0.488
ECOD,imdb,nlp,0.4884
ECOD,imdb,nlp,0.439
ECOD,yelp,nlp,0.5725
ECOD,yelp,nlp,0.5311
ECOD,yelp,nlp,0.5321
ECOD,yelp,nlp,0.5801
ECOD,yelp,nlp,0.5507
ECOD,yelp,nlp,0.5876
ECOD,yelp,nlp,0.5461
ECOD,yelp,nlp,0.5513
ECOD,yelp,nlp,0.5464
ECOD,yelp,nlp,0.5597
HBOS,amazon,nlp,0.4924
HBOS,amazon,nlp,0.5217
HBOS,amazon,nlp,0.5078
HBOS,amazon,nlp,0.5167
HBOS,amazon,nlp,0.5038
HBOS,amazon,nlp,0.5179
HBOS,amazon,nlp,0.528
HBOS,amazon,nlp,0.5259
HBOS,amazon,nlp,0.5209
HBOS,amazon,nlp,0.5099
HBOS,imdb,nlp,0.4779
HBOS,imdb,nlp,0.4846
HBOS,imdb,nlp,0.4681
HBOS,imdb,nlp,0.4454
HBOS,imdb,nlp,0.4959
HBOS,imdb,nlp,0.4875
HBOS,imdb,nlp,0.4662
HBOS,imdb,nlp,0.4926
HBOS,imdb,nlp,0.4899
HBOS,imdb,nlp,0.4388
HBOS,yelp,nlp,0.5639
HBOS,yelp,nlp,0.5187
HBOS,yelp,nlp,0.5225
HBOS,yelp,nlp,0.5708
HBOS,yelp,nlp,0.5427
HBOS,yelp,nlp,0.5743
HBOS,yelp,nlp,0.5386
HBOS,yelp,nlp,0.5416
HBOS,yelp,nlp,0.5375
HBOS,yelp,nlp,0.5534
